game_mode,map,brawler,overall_pick_count,overall_win_rate_pct,pick_order_range,pick_rate_rank,win_rate_decimal,data_source
Bounty,Layer Cake,Pierce,4,0,4,1.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Meeple,2,100,2,2.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Gene,2,100,2,2.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Mina,2,50,2,2.0,0.5,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Mortis,2,0,2,2.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Ruffs,2,0,2,2.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Willow,1,100,1,7.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Alli,1,100,1,7.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Cordelius,1,100,1,7.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Lily,1,100,1,7.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Emz,1,100,1,7.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Kaze,1,100,1,7.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Penny,1,100,1,7.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Juju,1,0,1,7.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Hank,1,0,1,7.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Layer Cake,Spike,1,0,1,7.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Byron,4,75,4,1.0,0.75,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Gene,3,0,3,2.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Gus,2,100,2,3.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Mina,2,100,2,3.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Nani,2,50,2,3.0,0.5,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,8-bit,2,50,2,3.0,0.5,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Piper,2,0,2,3.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Mortis,1,100,1,8.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Frank,1,100,1,8.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Stu,1,100,1,8.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Sprout,1,100,1,8.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Spike,1,100,1,8.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,R-T,1,100,1,8.0,1.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Ollie,1,0,1,8.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Ruffs,1,0,1,8.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Gray,1,0,1,8.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Max,1,0,1,8.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Kaze,1,0,1,8.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
Bounty,Shooting Star,Pierce,1,0,1,8.0,0.0,Monthly Finals Feb 2026 (EMEA/APAC/SA/NA)
