brawler_id,brawler_name,rarity,rarity_color,class,description,star_powers_count,gadgets_count,icon_url
16000103,Najia,Mythic,#fe5e72,Unknown,"Hired by Finx to make Pyramid Quest's puzzles harder, her good nature actually lead her to help those trapped by his time-warping mischief instead.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000103.png
16000102,Sirius,Ultra Legendary,#e1fb2a,Unknown,"His identity is as mysterious as his powers. He had the very first attraction at Starr Park, but rumor has it he was kicked out unfairly, and banned from ever returning. Now... he's back for REVENGE.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000102.png
16000101,Glowbert,Mythic,#fe5e72,Unknown,"A marine biologist working at the Starr Park aquarium, Glowbert is obsessed with sea life, wanting to introduce it to as many visitors as he can. Although he might seem a bit creepy, he’s actually a nice guy! Maybe.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000101.png
16000100,Gigi,Mythic,#fe5e72,Unknown,"A cursed puppet who brings an unsettling vibe, Gigi and her bonded magician's glove are never found apart. You can find her in the Oddities Shop, dancing between the bookshelves.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000100.png
16000099,Pierce,Legendary,#fff11e,Unknown,"You know pool lifeguards? Pierce is one of those. Except he shoots people instead of saving them. OK maybe he isn't like a lifeguard at all. When Buzz decides there has been too much pee in the pool, he calls in Pierce to 'clean up'.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000099.png
16000098,Ziggy,Mythic,#fe5e72,Unknown,"Ziggy is an uber theatrical magician who excels at using electricity in his act. He's a bit full of himself, but hey, he can literally control lightning. Just remember... they're not tricks, they're illusions.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000098.png
16000097,Mina,Mythic,#fe5e72,Unknown,Mina is a b-girl who mixes capoeira into her breakdance battles like it's second nature. She hangs out at SK8 Beats with Ollie and uses his mixtapes to practice new moves!,2,2,https://cdn.brawlify.com/brawlers/borderless/16000097.png
16000096,Trunk,Epic,#d850ff,Unknown,"Trunk is a suspiciously uncanny-looking tree. It couldn't be because Trunk is actually a colony of hyper-intelligent ants controlling a fake mechanical tree? No, that would be ridiculous.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000096.png
16000095,Alli,Mythic,#fe5e72,Unknown,"Alli is the shy mechanic of the Love Swamp. She loves to get her hands dirty, by either fixing broken machines or... mercilessly stalking other Brawlers. If you're walking home late at night and hear an odd noise, it's probably Alli trying to say hello.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000095.png
16000094,Kaze,Ultra Legendary,#e1fb2a,Unknown,"Kaze was raised to be a living weapon by her parents, but this was not the life she wanted. After escaping to Starr Park with Kenji, she can now live how she wants. However, she is still torn between the two aspects of her life, being a humble geisha and a deadly ninja.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000094.png
16000093,Jae-Yong,Mythic,#fe5e72,Unknown,"By day, Jae-yong is your average office worker. By night, he is a karaoke GOD... or so he thinks. The jury is still out on his singing skills.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000093.png
16000092,Finx,Mythic,#fe5e72,Unknown,"The owner of Starr Park's escape room, Finx is meant to help visitors complete tasks. Instead, he uses his time controlling abilities to cause mischief! Also, he LOVES cats.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000092.png
16000091,Lumi,Mythic,#fe5e72,Damage Dealer,"A passionate metalhead and a talented drummer, Lumi traded her drumsticks for morning stars when she got her job at Starr Park. She controls elements of ice and fire, which reflects her shy nature and her burning passion for music!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000091.png
16000090,Ollie,Mythic,#fe5e72,Unknown,"Ollie rides his customized hoverboard around Starr Park, grinding rails and causing trouble! A fan of old school hip hop, Ollie blasts his favorite tunes wherever he goes. His music is infectious... literally. Brawlers can't help but dance when they hear it.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000090.png
16000089,Meeple,Epic,#d850ff,Unknown,Meeple knows the rules to every board game in existence and if you break them... Well let's just say you don't want to break them. They hate cheaters and those who break the rules. There's only one exception... Meeple themselves!,2,2,https://cdn.brawlify.com/brawlers/borderless/16000089.png
16000088,Buzz Lightyear,Legendary,#fff11e,Unknown,"Buzz Lightyear has arrived in Starr Park! Starting his journey with an accidental delivery to the Gift Shop, Buzz has since been impressing Brawlers with his three different Brawling modes!",3,1,https://cdn.brawlify.com/brawlers/borderless/16000088.png
16000087,Juju,Mythic,#fe5e72,Artillery,"Juju owns the Oddities Shop and is followed everywhere by her ""pet"" voodoo doll, Gris-Gris (pronounced Gregory). Although she can control the elements, Juju is also a talented toymaker who makes dolls to sell to Starr Park's many visitors.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000087.png
16000086,Shade,Epic,#d850ff,Assassin,"Not much is known about this mysterious pile of clothes, other than the fact it has some cool sunglasses. Discovered by Gus, Shade was given a name and now the two spooky Brawlers haunt the Ghost Station together.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000086.png
16000085,Kenji,Legendary,#fff11e,Assassin,"This highly skilled sushi chef has a wholesome life running his restaurant in Starr Park, but it feels like he's trying to hide something about his past... though his sushi tastes so good, nobody cares!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000085.png
16000084,Moe,Mythic,#fe5e72,Damage Dealer,"Moe is a blind rat, found living in the Starr Park sewers by Grom, who then quickly adopted him! Now part of Starr Park's maintenance team, Moe uses his special digging machine, Driller, to traverse the sewer tunnels... and also cause a bit of destruction throughout the park, much to Ash's dismay.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000084.png
16000083,Clancy,Mythic,#fe5e72,Damage Dealer,There's no turning back with Clancy (unless Hank orders him to). He's fully embraced his fake crustacean life and will do anything for his comrades.,2,2,https://cdn.brawlify.com/brawlers/borderless/16000083.png
16000082,Berry,Epic,#d850ff,Support,"Working at Mandy's Candy Shop, what could go wrong? EVERYTHING! Luckily, Berry has the patience and toughness of a workhorse. He seems to hate every second of his job, but at the end of his shift, you might catch a brief smile.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000082.png
16000081,Lily,Mythic,#fe5e72,Assassin,"A nerd at heart and a total witchcraft buff, Lily's thirst for knowledge once led her into the Enchanted Woods, where an incident involving a firefly and a carnivorous plant would change her life forever...",2,2,https://cdn.brawlify.com/brawlers/borderless/16000081.png
16000080,Draco,Legendary,#fff11e,Tank,"Riding his inflatable dragon and setting off fireworks, Draco promises a show-stopping finale every night. With his electric guitar blaring and his flame-spewing ride rocking the crowd, he turns the fantasy up to eleven!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000080.png
16000079,Angelo,Epic,#d850ff,Marksman,"Angelo is the Love Swamp's resident cupid-turned-mosquito. They buzz around the canals looking for lovebirds to dazzle with their irresistible charm, even if those require a little extra, pointy incentive.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000079.png
16000078,Melodie,Mythic,#fe5e72,Assassin,"When it comes to Karaoke, Melodie shows no mercy. Armed with her kawaii looks and devilish set of pipes, she never fails to steal the limelight.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000078.png
16000077,Larry & Lawrie,Epic,#d850ff,Artillery,"Larry sells tickets to Starr Park visitors under the watchful eye of his twin, Lawrie. Larry loves rules, they make life easier! Lawrie doesn't love rules so much as enforcing them. They make a good team.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000077.png
16000076,Kit,Legendary,#fff11e,Support,"Stuck giving autographs to his rabid fans at Starr Toon Studios, cartoony superstar Kit often daydreams of becoming relevant in the industry again, respected for his acting chops rather than his looks.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000076.png
16000075,Mico,Mythic,#fe5e72,Assassin,"Mico's the sound guy in Brawlywood, but one could be forgiven for thinking he's actually a celebrity given all the bragging and name-dropping. Hot-tempered and unstable, he cannot take a joke. Don't ever call him funny...",2,2,https://cdn.brawlify.com/brawlers/borderless/16000075.png
16000074,Charlie,Mythic,#fe5e72,Controller,Itsy bitsy Charlie Put on a crazy show She let down her hair And made off with all your dough In came the crowd It filled up the circus tent So Charlie weaved away while Taking every cent!,2,2,https://cdn.brawlify.com/brawlers/borderless/16000074.png
16000073,Chuck,Mythic,#fe5e72,Damage Dealer,"Once a brilliant maestro, now a train conductor, Chuck traded the symphonies of the concert halls for the cacophonies of the Ghost Station, all in the hope of discovering the next big thing in music!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000073.png
16000072,Pearl,Epic,#d850ff,Damage Dealer,"Against all odds, Pearl found her way into Belle and Sam's hardened hearts thanks to her disarmingly warm nature. Besides, who can resist chocolate cookies?",2,2,https://cdn.brawlify.com/brawlers/borderless/16000072.png
16000071,Doug,Mythic,#fe5e72,Support,Doug's hot dogs will extend your friends' shelf life.,2,2,https://cdn.brawlify.com/brawlers/borderless/16000071.png
16000070,Cordelius,Legendary,#fff11e,Assassin,Gardener and caretaker of the Enchanted Forest. Obsesses over mushrooms and is hostile towards strangers.,2,2,https://cdn.brawlify.com/brawlers/borderless/16000070.png
16000069,Hank,Epic,#d850ff,Tank,"Hank is a one-shrimp, one-tank army on a mission to liberate sea life from kitchens and markets everywhere. Chefs, consider yourselves on notice!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000069.png
16000068,Maisie,Epic,#d850ff,Marksman,"Maisie works as a safety coordinator, but deep down she enjoys dangerous situations. Sometimes, it almost feels like she has a hand in creating them.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000068.png
16000067,Willow,Mythic,#fe5e72,Controller,"Willow works as a gondoliera in the Swamp of Love. She gives couples in search of a romantic evening the creepiest, most unsettling time they could imagine.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000067.png
16000066,R-T,Mythic,#fe5e72,Damage Dealer,"R-T is designed to be a helpful information kiosk, but he's also been given the task of monitoring all activity within Starr Park. For safety reasons, of course.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000066.png
16000065,Mandy,Epic,#d850ff,Marksman,Mandy runs a candy store where she dresses in costume and doles out sweet treats. She's a little too into the act and rules her candy kingdom with an iron fist.,2,2,https://cdn.brawlify.com/brawlers/borderless/16000065.png
16000064,Gray,Mythic,#fe5e72,Support,Gray styles himself as a character in an old silent film. He takes the act seriously but sometimes forgets to keep his mouth shut when doing finger bullets.,2,2,https://cdn.brawlify.com/brawlers/borderless/16000064.png
16000063,Chester,Legendary,#fff11e,Damage Dealer,"Chester makes vicious fun of anyone in sight, trying to get under their skin. The more hate he gets, the better... especially if that hater is Mandy!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000063.png
16000062,Buster,Mythic,#fe5e72,Tank,Buster took a film projector from the movie theater where he works so he can play around with it like a prop. It's dangerous and highly unprofessional!,2,2,https://cdn.brawlify.com/brawlers/borderless/16000062.png
16000061,Gus,Super Rare,#5ab3ff,Support,"Gus looks so much like a ghost child that he's often mistaken for one. Perhaps fittingly, he's an enthusiast of all things Supernatural, since he's too innocent to be scared.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000061.png
16000060,Sam,Epic,#d850ff,Assassin,"A former factory worker turned wanted member of the Goldarm Gang, Sam is always there to ensure Belle doesn't go too far on their latest heist!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000060.png
16000059,Otis,Mythic,#fe5e72,Controller,"Otis is a young street artist on the come-up who works by shooting ink at the walls. Nobody knows his true identity, which only adds to his mystique!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000059.png
16000058,Bonnie,Epic,#d850ff,Marksman,"Bonnie is a bundle of uncontrollable and totally destructive energy. Her dream is to be fired from her cannon, all the way to the moon!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000058.png
16000057,Janet,Mythic,#fe5e72,Marksman,"Janet will do whatever it takes to reach the top! As a bonus, her performing skills come in handy for rescuing her sister Bonnie, whenever she gets into trouble.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000057.png
16000056,Eve,Mythic,#fe5e72,Damage Dealer,Eve's purpose in life is to mother and protect her precious babies! She'll do whatever it takes to find them a good home... preferably in Ruffs' fur,2,2,https://cdn.brawlify.com/brawlers/borderless/16000056.png
16000054,Fang,Mythic,#fe5e72,Assassin,"Fang has absorbed so many kung-fu movies he practically lives in one. He's confident, charming, and never uses his hands if he can kick instead!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000054.png
16000053,Lola,Epic,#d850ff,Damage Dealer,"Lola makes sure everyone knows when she enters a room. She's an expert in the fine art of causing a scene to get what she wants, and she's proud of it!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000053.png
16000052,Meg,Legendary,#fff11e,Tank,"Content to work behind the scenes with her trusty mecha suit, Meg takes care of real problems, while Max and Surge are out entertaining the crowds.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000052.png
16000051,Ash,Epic,#d850ff,Tank,Ash has the thankless job of keeping the park clean. He's climbed into a trash can to protect himself from broken glass and rat bites. It makes him grumpy!,2,2,https://cdn.brawlify.com/brawlers/borderless/16000051.png
16000050,Griff,Epic,#d850ff,Controller,"Griff acts like a rich, successful entrepreneur, but his only business is the failing Starr Park Gift Shop. Oddly, he's never around when the bank calls.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000050.png
16000049,Buzz,Mythic,#fe5e72,Assassin,Buzz is a lifeguard at the Velocirapids water park and a real stickler for the rules. He clearly enjoys wielding the tiny bit of authority he has to the greatest degree possible.,2,2,https://cdn.brawlify.com/brawlers/borderless/16000049.png
16000048,Grom,Epic,#d850ff,Artillery,Grom is a brawny security guard with one weak point: the flashbacks he gets from his time working at a kindergarten. Those kids were merciless.,2,2,https://cdn.brawlify.com/brawlers/borderless/16000048.png
16000047,Squeak,Mythic,#fe5e72,Controller,"Squeak is a blob of happy energy who loves his creator, Ruffs. He's a joy to be around, at least if you are unaware that he's made of dog slobber",2,2,https://cdn.brawlify.com/brawlers/borderless/16000047.png
16000046,Belle,Epic,#d850ff,Marksman,"The leader of the notorious Goldarm Gang, Belle is after more than money. She wants to find out the truth behind Starr Park and bring it down!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000046.png
16000045,Stu,Epic,#d850ff,Assassin,"A little punch-drunk from too many bumps, bruises, and gasoline fumes over his long stunt performing career, Stu is a bit wobbly on his wheel these days.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000045.png
16000044,Ruffs,Mythic,#fe5e72,Support,"Ruffs is a loyal, highly disciplined space colonel who runs a tight ship and does everything by the book. But deep down, he just wants to be a good boy!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000044.png
16000043,Edgar,Epic,#d850ff,Assassin,"Edgar believes nobody understands him. Certainly not his mom, who thinks he's going through a phase. Only he knows the darkness in his soul is eternal.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000043.png
16000042,Byron,Mythic,#fe5e72,Support,Byron has invented many concoctions and tinctures that heal or harm in various ways.... but most of them fall into the harming category,2,2,https://cdn.brawlify.com/brawlers/borderless/16000042.png
16000041,Lou,Mythic,#fe5e72,Controller,Lou is a robot snow cone salesman who's yet to make his first sale. Being located on a snowy mountain peak might have something to do with that.,2,2,https://cdn.brawlify.com/brawlers/borderless/16000041.png
16000040,Amber,Legendary,#fff11e,Controller,"Amber brings the heat, literally! She's overconfident about her fire abilities despite being a bit of a klutz. With her, it's spectacle first, and safety last.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000040.png
16000039,Colette,Epic,#d850ff,Damage Dealer,"Colette has collected every single figurine, plushie, and toy of every single Brawler. Is she obsessed? Yes. But has she lost touch with reality? Also yes.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000039.png
16000038,Surge,Legendary,#fff11e,Damage Dealer,"Surge is a souped-up soda fountain, always ready to get the party started! He's got the beats, the moves, and an endless supply of energy drinks.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000038.png
16000037,Sprout,Mythic,#fe5e72,Artillery,"Sprout appears to be a cute gardening robot who helps Rosa around the Biodome, but it's actually an incubator with arms and wheels for a strange pink seed!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000037.png
16000036,Nani,Epic,#d850ff,Marksman,"Originally a security camera, Nani was modified to keep an eye on Jessie. Unfortunately, she can hardly keep up with the precocious girl!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000036.png
16000035,Gale,Epic,#d850ff,Controller,Gale's job is to use his snowblower to clear the areas around Mr. P's Snowtel. Nobody mentioned anything about stopping when the guests were around...,2,2,https://cdn.brawlify.com/brawlers/borderless/16000035.png
16000034,Jacky,Super Rare,#5ab3ff,Tank,"Jacky is a miner who can't resist mouthing off about her wild work experiences using very colorful language! Luckily, the bad words are drowned out by the noise of her jackhammer",2,2,https://cdn.brawlify.com/brawlers/borderless/16000034.png
16000032,Max,Mythic,#fe5e72,Support,"Fuelled by energy drinks, Max speeds to the scene whenever someone needs help. She never sticks around long enough to do much... but she sure is fast!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000032.png
16000031,Mr. P,Mythic,#fe5e72,Controller,"Mr. P is in over his head trying to run a hotel. He's always yelling at his employees to work faster, as if they could understand his gibberish!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000031.png
16000030,Emz,Epic,#d850ff,Controller,"Emz supposedly works for her uncle Mortis at the mortuary, but she rarely makes an appearance there. She's too busy hawking her hairspray brand online.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000030.png
16000029,Bea,Epic,#d850ff,Marksman,"Bea spends her day watching bugs as they go about their lives, imagining what they'd say if she could understand them... or even what it's like to be one.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000029.png
16000028,Sandy,Legendary,#fff11e,Controller,"On the rare occasions Sandy wakes from his slumber, he tries to help his big sister Tara around their store. But it's never long before he falls asleep again.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000028.png
16000027,8-Bit,Super Rare,#5ab3ff,Damage Dealer,"An arcade game famous for its brutal difficulty, 8-Bit always hated its players. Now that it's missing one of its guns, it's angrier than ever before.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000027.png
16000026,Bibi,Epic,#d850ff,Tank,"Bibi is a tough punk with a baseball bat and an attitude to match. She's a bit of a nerd too, but she'd never show it. She's got an image to maintain!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000026.png
16000025,Carl,Super Rare,#5ab3ff,Damage Dealer,Carl is a mining robot who's fascinated by rocks and stones of all kinds. Don't let him get started on his latest obsession: the effects of Gems!,2,2,https://cdn.brawlify.com/brawlers/borderless/16000025.png
16000024,Rosa,Rare,#68fd58,Tank,"Rosa is a botanist with a strong connection to plants. She's also a boxer, and won't hesitate to punch one of her specimens if it goes out of control!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000024.png
16000023,Leon,Legendary,#fff11e,Assassin,"Since Leon doesn't like hanging with other people much, his ability to become invisible comes in handy. Only his little sister, Nita, seems to get through to him.",2,2,https://cdn.brawlify.com/brawlers/borderless/16000023.png
16000022,Tick,Super Rare,#5ab3ff,Artillery,"Tick follows Penny around like a pet as she plots her next big scheme. He isn't good for much besides blowing things up, but that's usually plenty!",2,2,https://cdn.brawlify.com/brawlers/borderless/16000022.png
