map_id,map_name,map_hash,game_mode_id,game_mode_name,game_mode_color,environment_id,environment_name,disabled,image_url
15000005,Shooting Star,Shooting-Star,48000003,Bounty,#24d6ff,2,Arcade,False,https://cdn.brawlify.com/maps/regular/15000005.png
15000007,Hard Rock Mine,Hard-Rock-Mine,48000000,Gem Grab,#d852ff,3,Mine,False,https://cdn.brawlify.com/maps/regular/15000007.png
15000008,Crystal Arcade,Crystal-Arcade,48000000,Gem Grab,#d852ff,2,Arcade,False,https://cdn.brawlify.com/maps/regular/15000008.png
15000009,Deathcap Trap,Deathcap-Trap,48000000,Gem Grab,#d852ff,4,Rumblejungle,False,https://cdn.brawlify.com/maps/regular/15000009.png
15000010,Gem Fort,Gem-Fort,48000000,Gem Grab,#d852ff,5,Hub,False,https://cdn.brawlify.com/maps/regular/15000010.png
15000011,Undermine,Undermine,48000000,Gem Grab,#d852ff,3,Mine,False,https://cdn.brawlify.com/maps/regular/15000011.png
15000018,Kaboom Canyon,Kaboom-Canyon,48000002,Heist,#d852ff,1,Default,False,https://cdn.brawlify.com/maps/regular/15000018.png
15000019,Safe Zone,Safe-Zone,48000002,Heist,#d852ff,5,Hub,False,https://cdn.brawlify.com/maps/regular/15000019.png
15000022,Hideout,Hideout,48000003,Bounty,#24d6ff,10,Madevilmanor,False,https://cdn.brawlify.com/maps/regular/15000022.png
15000024,Backyard Bowl,Backyard-Bowl,48000005,Brawl Ball,#9ab1fd,11,Grassfield,False,https://cdn.brawlify.com/maps/regular/15000024.png
15000025,Triple Dribble,Triple-Dribble,48000005,Brawl Ball,#9ab1fd,11,Grassfield,False,https://cdn.brawlify.com/maps/regular/15000025.png
15000026,Pinhole Punt,Pinhole-Punt,48000005,Brawl Ball,#9ab1fd,11,Grassfield,False,https://cdn.brawlify.com/maps/regular/15000026.png
15000050,Sneaky Fields,Sneaky-Fields,48000005,Brawl Ball,#9ab1fd,13,Stuntshowbb,False,https://cdn.brawlify.com/maps/regular/15000050.png
15000051,Super Beach,Super-Beach,48000005,Brawl Ball,#9ab1fd,14,Bbarena,False,https://cdn.brawlify.com/maps/regular/15000051.png
