map_id,map_name,map_hash,game_mode_id,game_mode_name,game_mode_color,environment_id,environment_name,disabled,image_url
15000000,Temple Ruins,Temple-Ruins,48000003,Bounty,#24d6ff,1,Default,True,https://cdn.brawlify.com/maps/regular/15000000.png
15000001,Stone Fort,Stone-Fort,48000003,Bounty,#24d6ff,1,Default,True,https://cdn.brawlify.com/maps/regular/15000001.png
15000002,Deathcap Trap,Deathcap-Trap,48000003,Bounty,#24d6ff,1,Default,True,https://cdn.brawlify.com/maps/regular/15000002.png
15000003,Crystal Clearing,Crystal-Clearing,48000003,Bounty,#24d6ff,1,Default,True,https://cdn.brawlify.com/maps/regular/15000003.png
15000004,Snake Prairie,Snake-Prairie,48000003,Bounty,#24d6ff,1,Default,True,https://cdn.brawlify.com/maps/regular/15000004.png
15000005,Shooting Star,Shooting-Star,48000003,Bounty,#24d6ff,2,Arcade,False,https://cdn.brawlify.com/maps/regular/15000005.png
15000006,Outlaw Camp,Outlaw-Camp,48000003,Bounty,#24d6ff,1,Default,True,https://cdn.brawlify.com/maps/regular/15000006.png
15000007,Hard Rock Mine,Hard-Rock-Mine,48000000,Gem Grab,#d852ff,3,Mine,False,https://cdn.brawlify.com/maps/regular/15000007.png
15000008,Crystal Arcade,Crystal-Arcade,48000000,Gem Grab,#d852ff,2,Arcade,False,https://cdn.brawlify.com/maps/regular/15000008.png
15000009,Deathcap Trap,Deathcap-Trap,48000000,Gem Grab,#d852ff,4,Rumblejungle,False,https://cdn.brawlify.com/maps/regular/15000009.png
15000010,Gem Fort,Gem-Fort,48000000,Gem Grab,#d852ff,5,Hub,False,https://cdn.brawlify.com/maps/regular/15000010.png
15000011,Undermine,Undermine,48000000,Gem Grab,#d852ff,3,Mine,False,https://cdn.brawlify.com/maps/regular/15000011.png
15000012,Deep Diner,Deep-Diner,48000000,Gem Grab,#d852ff,1,Default,True,https://cdn.brawlify.com/maps/regular/15000012.png
15000013,Skull Creek,Skull-Creek,48000006,Solo Showdown,#91e136,6,Madevilmanorshowdown,True,https://cdn.brawlify.com/maps/regular/15000013.png
15000014,Scorched Stone,Scorched-Stone,48000006,Solo Showdown,#91e136,7,Mortuaryshowdown,True,https://cdn.brawlify.com/maps/regular/15000014.png
15000015,Rockwall Brawl,Rockwall-Brawl,48000006,Solo Showdown,#91e136,8,Defaultshowdown,True,https://cdn.brawlify.com/maps/regular/15000015.png
15000016,Feast Or Famine,Feast-Or-Famine,48000006,Solo Showdown,#91e136,9,Arcadeshowdown,True,https://cdn.brawlify.com/maps/regular/15000016.png
15000017,Bandit Stash,Bandit-Stash,48000002,Heist,#d852ff,1,Default,True,https://cdn.brawlify.com/maps/regular/15000017.png
15000018,Kaboom Canyon,Kaboom-Canyon,48000002,Heist,#d852ff,1,Default,False,https://cdn.brawlify.com/maps/regular/15000018.png
15000019,Safe Zone,Safe-Zone,48000002,Heist,#d852ff,5,Hub,False,https://cdn.brawlify.com/maps/regular/15000019.png
15000021,Team Day,Team-Day,48000007,Big Game,#ff6847,1,Default,True,https://cdn.brawlify.com/maps/regular/15000021.png
15000022,Hideout,Hideout,48000003,Bounty,#24d6ff,10,Madevilmanor,False,https://cdn.brawlify.com/maps/regular/15000022.png
15000023,G.g. Mortuary,Gg.-Mortuary,48000002,Heist,#d852ff,1,Default,True,https://cdn.brawlify.com/maps/regular/15000023.png
15000024,Backyard Bowl,Backyard-Bowl,48000005,Brawl Ball,#9ab1fd,11,Grassfield,False,https://cdn.brawlify.com/maps/regular/15000024.png
15000025,Triple Dribble,Triple-Dribble,48000005,Brawl Ball,#9ab1fd,11,Grassfield,False,https://cdn.brawlify.com/maps/regular/15000025.png
15000026,Pinhole Punt,Pinhole-Punt,48000005,Brawl Ball,#9ab1fd,11,Grassfield,False,https://cdn.brawlify.com/maps/regular/15000026.png
15000027,Pachinko Park,Pachinko-Park,48000008,Robo Rumble,#ff6847,1,Default,True,https://cdn.brawlify.com/maps/regular/15000027.png
15000028,Double Trouble,Double-Trouble-Duo,48000009,Duo Showdown,#91e136,6,Madevilmanorshowdown,True,https://cdn.brawlify.com/maps/regular/15000028.png
