battle_time,map,game_mode,environment,mode,team_a_win,team_a_brawler1,team_a_brawler2,team_a_brawler3,team_b_brawler1,team_b_brawler2,team_b_brawler3,team_a_brawler1_class,team_a_brawler2_class,team_a_brawler3_class,team_b_brawler1_class,team_b_brawler2_class,team_b_brawler3_class,team_a_brawler1_rarity,team_a_brawler2_rarity,team_a_brawler3_rarity,team_b_brawler1_rarity,team_b_brawler2_rarity,team_b_brawler3_rarity
20260314T015354.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,BIBI,COLT,BEA,SHELLY,RICO,SIRIUS,Tank,Damage Dealer,Marksman,Damage Dealer,Damage Dealer,Unknown,Epic,Rare,Epic,Common,Super Rare,Ultra Legendary
20260314T015138.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,SIRIUS,MELODIE,BEA,SHELLY,RICO,SIRIUS,Unknown,Assassin,Marksman,Damage Dealer,Damage Dealer,Unknown,Ultra Legendary,Mythic,Epic,Common,Super Rare,Ultra Legendary
20260314T014818.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,MORTIS,BIBI,DOUG,SHELLY,RICO,SIRIUS,Assassin,Tank,Support,Damage Dealer,Damage Dealer,Unknown,Mythic,Epic,Mythic,Common,Super Rare,Ultra Legendary
20260314T014513.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,SHELLY,RICO,SIRIUS,BUZZ,SIRIUS,EL PRIMO,Damage Dealer,Damage Dealer,Unknown,Assassin,Unknown,Tank,Common,Super Rare,Ultra Legendary,Mythic,Ultra Legendary,Rare
20260314T014256.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,SHELLY,RICO,SIRIUS,SIRIUS,BULL,RICO,Damage Dealer,Damage Dealer,Unknown,Unknown,Tank,Damage Dealer,Common,Super Rare,Ultra Legendary,Ultra Legendary,Rare,Super Rare
20260314T013753.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,RICO,SIRIUS,SHELLY,BIBI,BIBI,BIBI,Damage Dealer,Unknown,Damage Dealer,Tank,Tank,Tank,Super Rare,Ultra Legendary,Common,Epic,Epic,Epic
20260314T013101.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,BO,BIBI,SIRIUS,SHELLY,RICO,SIRIUS,Controller,Tank,Unknown,Damage Dealer,Damage Dealer,Unknown,Epic,Epic,Ultra Legendary,Common,Super Rare,Ultra Legendary
20260314T012404.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,MORTIS,EMZ,COLT,SHELLY,RICO,SIRIUS,Assassin,Controller,Damage Dealer,Damage Dealer,Damage Dealer,Unknown,Mythic,Epic,Rare,Common,Super Rare,Ultra Legendary
20260314T011809.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,CROW,EMZ,SPIKE,SHELLY,RICO,SIRIUS,Assassin,Controller,Damage Dealer,Damage Dealer,Damage Dealer,Unknown,Legendary,Epic,Legendary,Common,Super Rare,Ultra Legendary
20260314T011705.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,CHESTER,BEA,COLT,SHELLY,RICO,SIRIUS,Damage Dealer,Marksman,Damage Dealer,Damage Dealer,Damage Dealer,Unknown,Legendary,Epic,Rare,Common,Super Rare,Ultra Legendary
20260314T001430.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,BIBI,CHESTER,EMZ,SIRIUS,EMZ,BIBI,Tank,Damage Dealer,Controller,Unknown,Controller,Tank,Epic,Legendary,Epic,Ultra Legendary,Epic,Epic
20260314T001024.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,EMZ,BIBI,CHESTER,BIBI,EMZ,CROW,Controller,Tank,Damage Dealer,Tank,Controller,Assassin,Epic,Epic,Legendary,Epic,Epic,Legendary
20260314T000802.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,BULL,RICO,SIRIUS,EMZ,CHESTER,BIBI,Tank,Damage Dealer,Unknown,Controller,Damage Dealer,Tank,Rare,Super Rare,Ultra Legendary,Epic,Legendary,Epic
20260314T000322.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,MELODIE,SIRIUS,CROW,EMZ,BIBI,CHESTER,Assassin,Unknown,Assassin,Controller,Tank,Damage Dealer,Mythic,Ultra Legendary,Legendary,Epic,Epic,Legendary
20260314T000226.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,BIBI,SIRIUS,CROW,EMZ,BIBI,CHESTER,Tank,Unknown,Assassin,Controller,Tank,Damage Dealer,Epic,Ultra Legendary,Legendary,Epic,Epic,Legendary
20260314T000030.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,EMZ,CHESTER,BIBI,BIBI,SIRIUS,PEARL,Controller,Damage Dealer,Tank,Tank,Unknown,Damage Dealer,Epic,Legendary,Epic,Epic,Ultra Legendary,Epic
20260313T235543.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,BIBI,CHESTER,EMZ,CROW,SIRIUS,BIBI,Tank,Damage Dealer,Controller,Assassin,Unknown,Tank,Epic,Legendary,Epic,Legendary,Ultra Legendary,Epic
20260313T235114.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,SHELLY,BEA,CROW,EMZ,BIBI,CHESTER,Damage Dealer,Marksman,Assassin,Controller,Tank,Damage Dealer,Common,Epic,Legendary,Epic,Epic,Legendary
20260313T234635.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,CHESTER,BIBI,EMZ,RICO,EMZ,SIRIUS,Damage Dealer,Tank,Controller,Damage Dealer,Controller,Unknown,Legendary,Epic,Epic,Super Rare,Epic,Ultra Legendary
20260313T234346.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,EMZ,CHESTER,BIBI,BULL,SIRIUS,BIBI,Controller,Damage Dealer,Tank,Tank,Unknown,Tank,Epic,Legendary,Epic,Rare,Ultra Legendary,Epic
20260313T234041.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,EMZ,BIBI,CHESTER,EMZ,BIBI,BULL,Controller,Tank,Damage Dealer,Controller,Tank,Tank,Epic,Epic,Legendary,Epic,Epic,Rare
20260313T233757.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,EMZ,BIBI,CHESTER,BULL,SIRIUS,SPIKE,Controller,Tank,Damage Dealer,Tank,Unknown,Damage Dealer,Epic,Epic,Legendary,Rare,Ultra Legendary,Legendary
20260313T233617.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,EMZ,CHESTER,BIBI,BIBI,CORDELIUS,SIRIUS,Controller,Damage Dealer,Tank,Tank,Assassin,Unknown,Epic,Legendary,Epic,Epic,Legendary,Ultra Legendary
20260313T233448.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,BIBI,MEG,MORTIS,EMZ,CHESTER,BIBI,Tank,Tank,Assassin,Controller,Damage Dealer,Tank,Epic,Legendary,Mythic,Epic,Legendary,Epic
20260313T233308.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,CROW,BULL,BIBI,EMZ,CHESTER,BIBI,Assassin,Tank,Tank,Controller,Damage Dealer,Tank,Legendary,Rare,Epic,Epic,Legendary,Epic
20260311T101344.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,False,BIBI,MORTIS,COLT,TRUNK,MORTIS,RICO,Tank,Assassin,Damage Dealer,Unknown,Assassin,Damage Dealer,Epic,Mythic,Rare,Epic,Mythic,Super Rare
20260311T101232.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,False,SPIKE,DYNAMIKE,BULL,TRUNK,MORTIS,RICO,Damage Dealer,Artillery,Tank,Unknown,Assassin,Damage Dealer,Legendary,Super Rare,Rare,Epic,Mythic,Super Rare
20260311T100946.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,MORTIS,TRUNK,RICO,MAISIE,DYNAMIKE,BIBI,Assassin,Unknown,Damage Dealer,Marksman,Artillery,Tank,Mythic,Epic,Super Rare,Epic,Super Rare,Epic
20260311T100840.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,False,BIBI,SIRIUS,RICO,RICO,TRUNK,MORTIS,Tank,Unknown,Damage Dealer,Damage Dealer,Unknown,Assassin,Epic,Ultra Legendary,Super Rare,Super Rare,Epic,Mythic
20260311T100659.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,RICO,TRUNK,MORTIS,SIRIUS,BIBI,SQUEAK,Damage Dealer,Unknown,Assassin,Unknown,Tank,Controller,Super Rare,Epic,Mythic,Ultra Legendary,Epic,Mythic
20260311T100449.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,RICO,TRUNK,MORTIS,CROW,BIBI,JACKY,Damage Dealer,Unknown,Assassin,Assassin,Tank,Tank,Super Rare,Epic,Mythic,Legendary,Epic,Super Rare
20260311T100303.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,False,BIBI,EMZ,RICO,RICO,TRUNK,MORTIS,Tank,Controller,Damage Dealer,Damage Dealer,Unknown,Assassin,Epic,Epic,Super Rare,Super Rare,Epic,Mythic
20260311T100024.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,True,RICO,TRUNK,MORTIS,NITA,JACKY,FANG,Damage Dealer,Unknown,Assassin,Damage Dealer,Tank,Assassin,Super Rare,Epic,Mythic,Rare,Super Rare,Mythic
20260311T095703.000Z,Pinball Dreams,Brawl Ball,Bbarena,brawlBall,False,RICO,MEEPLE,BIBI,RICO,MORTIS,TRUNK,Damage Dealer,Unknown,Tank,Damage Dealer,Assassin,Unknown,Super Rare,Epic,Epic,Super Rare,Mythic,Epic
