map,game_mode,environment,mode,team_a_win,team_a_brawler1,team_a_brawler2,team_a_brawler3,team_b_brawler1,team_b_brawler2,team_b_brawler3,team_a_brawler1_class,team_a_brawler2_class,team_a_brawler3_class,team_b_brawler1_class,team_b_brawler2_class,team_b_brawler3_class,team_a_brawler1_rarity,team_a_brawler2_rarity,team_a_brawler3_rarity,team_b_brawler1_rarity,team_b_brawler2_rarity,team_b_brawler3_rarity
25,3,2,2,0,9,23,6,88,82,89,6,3,4,3,3,7,1,4,1,0,5,6
25,3,2,2,0,88,65,6,88,82,89,7,1,4,3,3,7,6,3,1,0,5,6
25,3,2,2,0,68,9,27,88,82,89,1,6,5,3,3,7,3,1,3,0,5,6
25,3,2,2,1,87,82,89,15,89,31,3,3,7,1,7,6,0,5,6,3,6,4
25,3,2,2,1,87,82,89,89,13,82,3,3,7,7,6,3,0,5,6,6,4,5
25,3,2,2,1,81,89,88,9,9,9,3,7,3,6,6,6,5,6,0,1,1,1
25,3,2,2,0,10,9,89,88,82,89,2,6,7,3,3,7,1,1,6,0,5,6
25,3,2,2,0,68,32,23,88,82,89,1,2,3,3,3,7,3,1,4,0,5,6
25,3,2,2,0,25,32,90,88,82,89,1,2,3,3,3,7,2,1,2,0,5,6
25,3,2,2,1,19,6,23,88,82,89,3,4,3,3,3,7,2,1,4,0,5,6
25,3,2,2,1,9,19,32,89,32,9,6,3,2,7,2,6,1,2,1,6,1,1
25,3,2,2,1,32,9,19,9,32,25,2,6,3,6,2,1,1,1,2,1,1,2
25,3,2,2,1,13,82,89,32,19,9,6,3,7,2,3,6,4,5,6,1,2,1
25,3,2,2,0,64,89,25,32,9,19,1,7,1,2,6,3,3,6,2,1,1,2
25,3,2,2,0,9,89,25,32,9,19,6,7,1,2,6,3,1,6,2,1,1,2
25,3,2,2,1,32,19,9,9,89,76,2,3,6,6,7,3,1,2,1,1,6,1
25,3,2,2,1,9,19,32,25,89,9,6,3,2,1,7,6,1,2,1,2,6,1
25,3,2,2,0,87,6,25,32,9,19,3,4,1,2,6,3,0,1,2,1,1,2
25,3,2,2,1,19,9,32,82,32,89,3,6,2,3,2,7,2,1,1,5,1,6
25,3,2,2,1,32,19,9,13,89,9,2,3,6,6,7,6,1,2,1,4,6,1
25,3,2,2,1,32,9,19,32,9,13,2,6,3,2,6,6,1,1,2,1,1,4
25,3,2,2,0,32,9,19,13,89,90,2,6,3,6,7,3,1,1,2,4,6,2
25,3,2,2,1,32,19,9,9,24,89,2,3,6,6,1,7,1,2,1,1,2,6
25,3,2,2,0,9,64,69,32,19,9,6,6,1,2,3,6,1,2,3,1,2,1
25,3,2,2,0,25,13,9,32,19,9,1,6,6,2,3,6,2,4,1,1,2,1
21,3,2,2,0,9,69,23,97,69,82,6,1,3,7,1,3,1,3,4,1,3,5
21,3,2,2,0,89,29,13,97,69,82,3,0,6,7,1,3,2,5,4,1,3,5
21,3,2,2,1,68,97,82,60,29,9,1,7,3,4,0,6,3,1,5,1,5,1
21,3,2,2,0,9,89,82,82,97,69,6,7,3,3,7,1,1,6,5,5,1,3
21,3,2,2,1,81,97,69,89,9,92,3,7,1,7,6,2,5,1,3,6,1,3
21,3,2,2,1,81,97,69,25,9,46,3,7,1,1,6,6,5,1,3,2,1,5
21,3,2,2,0,9,32,82,82,97,69,6,2,3,3,7,1,1,1,5,5,1,3
21,3,2,2,1,81,97,69,72,46,34,3,7,1,3,6,1,5,1,3,4,5,3
21,3,2,2,0,81,63,9,82,69,97,3,7,6,3,1,7,5,1,1,5,3,1
21,3,2,2,1,81,97,69,36,80,9,3,7,1,6,5,6,5,1,3,1,4,1
21,3,2,2,0,81,36,9,69,82,97,3,6,6,1,3,7,5,1,1,3,5,1
21,3,2,2,0,13,22,9,82,69,97,6,3,6,3,1,7,4,1,1,5,3,1
21,3,2,2,1,81,97,69,9,89,82,3,7,1,6,7,3,5,1,3,1,6,5
21,3,2,2,1,81,97,69,9,82,69,3,7,1,6,3,1,5,1,3,1,5,3
21,3,2,2,1,86,97,82,43,9,69,1,7,3,0,6,1,1,1,5,1,1,3
21,3,2,2,1,81,97,87,19,89,9,3,7,1,3,7,6,5,1,1,2,6,1
21,3,2,2,0,25,52,9,97,87,82,1,1,6,7,1,3,2,2,1,1,1,5
21,3,2,2,0,24,58,9,82,97,87,1,2,6,3,7,1,2,3,1,5,1,1
21,3,2,2,0,88,82,9,97,82,87,7,3,6,7,3,1,6,5,1,1,5,1
21,3,2,2,1,81,87,97,82,9,69,3,1,7,3,6,1,5,1,1,5,1,3
21,3,2,2,1,81,97,87,9,82,60,3,7,1,6,3,4,5,1,1,1,5,1
21,3,2,2,1,81,97,87,88,36,89,3,7,1,3,6,7,5,1,1,0,1,6
21,3,2,2,1,88,9,82,87,82,97,7,6,3,1,3,7,6,1,5,1,5,1
21,3,2,2,0,89,89,9,82,97,87,3,7,6,3,7,1,2,6,1,5,1,1
21,3,2,2,1,81,97,87,69,67,9,3,7,1,1,7,6,5,1,1,3,3,1
20,9,13,6,1,51,43,44,7,14,82,7,0,5,4,6,3,6,1,5,1,3,5
20,9,13,6,1,51,44,43,79,53,26,7,5,0,4,5,6,6,5,1,1,2,5
20,9,13,6,1,44,43,51,16,79,89,5,0,7,5,4,7,5,1,6,3,1,6
20,9,13,6,1,51,44,43,90,9,27,7,5,0,3,6,5,6,5,1,2,1,3
20,9,13,6,0,12,69,79,51,44,43,4,1,4,7,5,0,4,3,1,6,5,1
20,9,13,6,1,51,44,43,55,61,88,7,5,0,1,4,3,6,5,1,2,1,0
20,9,13,6,0,81,69,32,51,44,43,3,1,2,7,5,0,5,3,1,6,5,1
20,9,13,6,1,51,44,43,55,79,61,7,5,0,1,4,4,6,5,1,2,1,1
20,9,13,6,0,55,79,17,51,44,43,1,4,3,7,5,0,3,1,5,6,5,1
20,9,13,6,1,51,44,43,23,65,26,7,5,0,3,1,6,6,5,1,4,3,5
20,9,13,6,0,51,44,43,61,96,82,7,5,0,4,0,3,6,5,1,1,5,5
20,9,13,6,0,75,89,25,51,44,43,3,7,1,7,5,0,1,6,2,6,5,1
20,9,13,6,0,54,91,69,51,44,43,1,0,1,7,5,0,2,3,3,6,5,1
20,9,13,6,1,51,43,44,82,25,40,7,0,5,3,1,7,6,1,5,5,2,3
20,9,13,6,0,68,25,76,51,43,44,1,1,3,7,0,5,3,2,1,6,1,5
20,9,13,6,0,59,25,55,51,44,43,4,1,1,7,5,0,1,2,2,6,5,1
20,9,13,6,1,51,44,43,92,43,61,7,5,0,2,0,4,6,5,1,3,1,1
20,9,13,6,1,51,16,43,55,10,69,7,5,0,1,2,1,6,3,1,2,1,3
20,9,13,6,1,51,16,43,77,12,82,7,5,0,0,4,3,6,3,1,5,4,5
20,9,13,6,0,81,55,93,51,16,43,3,1,1,7,5,0,5,2,1,6,3,1
20,9,13,6,0,54,79,16,51,7,43,1,4,5,7,4,0,2,1,3,6,1,1
20,9,13,6,0,29,38,41,51,7,43,0,2,5,7,4,0,5,3,3,6,1,1
20,9,13,6,1,51,7,43,41,76,55,7,4,0,5,3,1,6,1,1,3,1,2
20,9,13,6,1,51,7,43,71,79,30,7,4,0,4,4,1,6,1,1,1,1,1
20,9,13,6,0,68,16,89,51,7,43,1,5,7,7,4,0,3,3,6,6,1,1
23,7,3,4,0,49,72,42,9,59,23,2,3,2,6,3,3,5,4,1,1,3,4
23,7,3,4,1,9,23,59,89,13,31,6,3,3,7,6,6,1,4,3,6,4,4
23,7,3,4,0,23,13,82,9,23,59,3,6,3,6,3,3,4,4,5,1,4,3
23,7,3,4,1,9,23,17,89,9,23,6,3,3,7,6,3,1,4,5,6,1,4
23,7,3,4,1,88,2,26,8,23,59,7,2,6,5,3,3,6,2,5,1,4,3
23,7,3,4,0,9,23,59,9,89,66,6,3,3,6,7,1,1,4,3,1,6,3
23,7,3,4,1,9,89,56,9,23,59,6,7,1,6,3,3,1,6,3,1,4,3
23,7,3,4,1,9,23,59,49,9,23,6,3,3,2,6,3,1,4,3,5,1,4
23,7,3,4,1,9,23,59,8,89,12,6,3,3,5,7,4,1,4,3,1,6,4
23,7,3,4,1,58,9,23,9,13,82,3,6,3,6,6,3,3,1,4,1,4,5
23,7,3,4,0,64,89,23,9,59,23,1,7,3,6,3,3,3,6,4,1,3,4
23,7,3,4,1,9,59,23,36,30,23,6,3,3,6,1,3,1,3,4,1,1,4
23,7,3,4,1,9,23,59,20,9,30,6,3,3,3,6,1,1,4,3,3,1,1
